row_id,order_id,order_date,customer_id,segment,city,state,region,product_id,category,subcategory,product_name,sales
111,CA-2018-146780,25/12/2018,CV-12805,Corporate,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
127,US-2018-107272,05/11/2018,TS-21610,Consumer,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
128,US-2018-107272,05/11/2018,TS-21610,Consumer,Phoenix,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99200000000002
131,US-2018-164147,02/02/2018,DW-13585,Corporate,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
132,US-2018-164147,02/02/2018,DW-13585,Corporate,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304
133,US-2018-164147,02/02/2018,DW-13585,Corporate,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456
142,CA-2018-106180,18/09/2018,SH-19975,Corporate,San Francisco,California,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82
143,CA-2018-106180,18/09/2018,SH-19975,Corporate,San Francisco,California,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
144,CA-2018-106180,18/09/2018,SH-19975,Corporate,San Francisco,California,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7
145,CA-2018-155376,22/12/2018,SG-20080,Consumer,Independence,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
177,US-2018-152366,21/04/2018,SJ-20500,Consumer,Houston,Texas,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264
198,CA-2018-107720,06/11/2018,VM-21685,Home Office,Westfield,New Jersey,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26
199,US-2018-124303,06/07/2018,FH-14365,Corporate,Philadelphia,Pennsylvania,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2 x 11, Light Blue",2.946
200,US-2018-124303,06/07/2018,FH-14365,Corporate,Philadelphia,Pennsylvania,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.055999999999997
201,CA-2018-105074,24/06/2018,MB-17305,Consumer,Akron,Ohio,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744
204,US-2018-116701,17/12/2018,LC-17140,Consumer,Dallas,Texas,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.28399999999999
205,CA-2018-126382,03/06/2018,HK-14890,Corporate,Franklin,Tennessee,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168
206,CA-2018-108329,09/12/2018,LE-16810,Consumer,Whittier,California,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.76800000000003
207,CA-2018-135860,01/12/2018,JH-15985,Consumer,Saginaw,Michigan,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92
208,CA-2018-135860,01/12/2018,JH-15985,Consumer,Saginaw,Michigan,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98
209,CA-2018-135860,01/12/2018,JH-15985,Consumer,Saginaw,Michigan,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92
210,CA-2018-135860,01/12/2018,JH-15985,Consumer,Saginaw,Michigan,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29
211,CA-2018-135860,01/12/2018,JH-15985,Consumer,Saginaw,Michigan,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99
232,US-2018-100930,07/04/2018,CS-12400,Home Office,Tampa,Florida,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86
233,US-2018-100930,07/04/2018,CS-12400,Home Office,Tampa,Florida,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145
234,US-2018-100930,07/04/2018,CS-12400,Home Office,Tampa,Florida,South,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.327999999999999
235,US-2018-100930,07/04/2018,CS-12400,Home Office,Tampa,Florida,South,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39 x 49",258.072
236,US-2018-100930,07/04/2018,CS-12400,Home Office,Tampa,Florida,South,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.976
237,CA-2018-160514,12/11/2018,DB-13120,Corporate,Santa Clara,California,West,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56
259,CA-2018-163139,01/12/2018,CC-12670,Consumer,New York City,New York,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37
260,CA-2018-163139,01/12/2018,CC-12670,Consumer,New York City,New York,East,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,221.55
261,CA-2018-163139,01/12/2018,CC-12670,Consumer,New York City,New York,East,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,17.52
262,US-2018-155299,08/06/2018,Dl-13600,Corporate,Pasadena,Texas,Central,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624
267,CA-2018-136826,16/06/2018,CB-12535,Corporate,Chapel Hill,North Carolina,South,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",14.015999999999998
269,US-2018-145366,09/12/2018,CA-12310,Corporate,Cincinnati,Ohio,East,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,37.208
270,US-2018-145366,09/12/2018,CA-12310,Corporate,Cincinnati,Ohio,East,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576
271,CA-2018-163979,28/12/2018,KH-16690,Corporate,San Francisco,California,West,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84
275,CA-2018-118136,16/09/2018,BB-10990,Corporate,Inglewood,California,West,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6 x 9, Gregg Ruled",8.82
276,CA-2018-118136,16/09/2018,BB-10990,Corporate,Inglewood,California,West,OFF-AR-10001427,Office Supplies,Art,Newell 330,5.98
277,CA-2018-132976,13/10/2018,AG-10495,Corporate,Philadelphia,Pennsylvania,East,OFF-PA-10000673,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",11.648
278,CA-2018-132976,13/10/2018,AG-10495,Corporate,Philadelphia,Pennsylvania,East,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n'' Stick Phone Message Book, 11 X 5 1/4, 200 Messages",18.176
279,CA-2018-132976,13/10/2018,AG-10495,Corporate,Philadelphia,Pennsylvania,East,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,59.711999999999996
280,CA-2018-132976,13/10/2018,AG-10495,Corporate,Philadelphia,Pennsylvania,East,OFF-LA-10002043,Office Supplies,Labels,Avery 489,24.84
309,CA-2018-126774,15/04/2018,SH-20395,Consumer,Arlington,Virginia,South,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89
326,CA-2018-153339,03/11/2018,DJ-13510,Corporate,Murfreesboro,Tennessee,South,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,15.992
346,CA-2018-169901,15/06/2018,CC-12550,Consumer,San Francisco,California,West,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.976000000000006
347,CA-2018-134306,08/07/2018,TD-20995,Consumer,Lowell,Massachusetts,East,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",7.56
348,CA-2018-134306,08/07/2018,TD-20995,Consumer,Lowell,Massachusetts,East,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,24.56
349,CA-2018-134306,08/07/2018,TD-20995,Consumer,Lowell,Massachusetts,East,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",12.96
360,CA-2018-155698,08/03/2018,VB-21745,Corporate,Columbus,Georgia,South,OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84
361,CA-2018-155698,08/03/2018,VB-21745,Corporate,Columbus,Georgia,South,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4 x 2",20.7
362,CA-2018-144904,25/09/2018,KW-16435,Consumer,New York City,New York,East,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4 x 2",20.7
363,CA-2018-144904,25/09/2018,KW-16435,Consumer,New York City,New York,East,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,488.64599999999996
364,CA-2018-144904,25/09/2018,KW-16435,Consumer,New York City,New York,East,OFF-AR-10003732,Office Supplies,Art,Newell 333,5.56
365,CA-2018-144904,25/09/2018,KW-16435,Consumer,New York City,New York,East,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,47.12
371,CA-2018-104745,29/05/2018,GT-14755,Consumer,Harlingen,Texas,Central,OFF-PA-10002036,Office Supplies,Paper,Xerox 1930,25.92
372,CA-2018-104745,29/05/2018,GT-14755,Consumer,Harlingen,Texas,Central,OFF-ST-10002205,Office Supplies,Storage,File Shuttle I and Handi-File,53.424
378,US-2018-134481,27/08/2018,AR-10405,Corporate,Franklin,Massachusetts,East,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2H x 24W x 20D",1488.424
390,CA-2018-101798,11/12/2018,MV-18190,Consumer,New York City,New York,East,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",23.36
391,CA-2018-101798,11/12/2018,MV-18190,Consumer,New York City,New York,East,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,39.98
395,CA-2018-102946,30/06/2018,VP-21730,Home Office,Las Vegas,Nevada,West,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,75.792
396,CA-2018-165603,17/10/2018,SS-20140,Corporate,Warwick,Rhode Island,East,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,49.96
397,CA-2018-165603,17/10/2018,SS-20140,Corporate,Warwick,Rhode Island,East,OFF-PA-10002552,Office Supplies,Paper,Xerox 1958,12.96
405,CA-2018-117933,24/12/2018,RF-19840,Consumer,New York City,New York,East,OFF-AP-10004249,Office Supplies,Appliances,Staple holder,35.91
406,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,TEC-AC-10000158,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95
407,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976
408,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",27.15
409,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.0239999999999
410,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2 x 4",9.68
411,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,OFF-LA-10003766,Office Supplies,Labels,Self-Adhesive Removable Labels,28.35
412,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1908,55.98
413,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829
414,CA-2018-117457,08/12/2018,KH-16510,Consumer,San Francisco,California,West,FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,113.568
415,CA-2018-142636,03/11/2018,KC-16675,Corporate,Seattle,Washington,West,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,139.86
416,CA-2018-142636,03/11/2018,KC-16675,Corporate,Seattle,Washington,West,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,307.13599999999997
417,CA-2018-122105,24/06/2018,CJ-12010,Consumer,Huntington Beach,California,West,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,95.92
419,CA-2018-154816,06/11/2018,VB-21745,Corporate,Richmond,Kentucky,South,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987,5.78
420,CA-2018-110478,04/03/2018,SP-20860,Corporate,Los Angeles,California,West,OFF-AR-10001573,Office Supplies,Art,American Pencil,9.32
421,CA-2018-110478,04/03/2018,SP-20860,Corporate,Los Angeles,California,West,OFF-EN-10000483,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",15.25
423,CA-2018-125388,19/10/2018,MP-17965,Corporate,Lawrence,Massachusetts,East,FUR-FU-10004712,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",56.56
424,CA-2018-125388,19/10/2018,MP-17965,Corporate,Lawrence,Massachusetts,East,OFF-ST-10000918,Office Supplies,Storage,Crate-A-Files,32.7
425,CA-2018-155705,21/08/2018,NF-18385,Consumer,Jackson,Mississippi,South,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4
426,CA-2018-149160,23/11/2018,JM-15265,Corporate,Canton,Michigan,Central,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,28.4
427,CA-2018-149160,23/11/2018,JM-15265,Corporate,Canton,Michigan,Central,OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System,287.92
429,CA-2018-152275,01/10/2018,KH-16630,Corporate,San Antonio,Texas,Central,OFF-AR-10000369,Office Supplies,Art,Design Ebony Sketching Pencil,6.672000000000001
439,CA-2018-130043,15/09/2018,BB-11545,Corporate,Houston,Texas,Central,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,31.872
440,CA-2018-157252,20/01/2018,CV-12805,Corporate,New York City,New York,East,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,207.84599999999998
447,CA-2018-154214,20/03/2018,TB-21595,Consumer,Columbus,Indiana,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91
454,CA-2018-147277,20/10/2018,EB-13705,Corporate,Akron,Ohio,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,284.36400000000003
455,CA-2018-147277,20/10/2018,EB-13705,Corporate,Akron,Ohio,East,OFF-ST-10000142,Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,665.408
469,CA-2018-154907,31/03/2018,DS-13180,Corporate,Amarillo,Texas,Central,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,205.3328
485,CA-2018-140963,10/06/2018,MT-18070,Home Office,Los Angeles,California,West,OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,29.6
486,CA-2018-140963,10/06/2018,MT-18070,Home Office,Los Angeles,California,West,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165
487,CA-2018-140963,10/06/2018,MT-18070,Home Office,Los Angeles,California,West,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,279.96
506,CA-2018-134978,12/11/2018,EB-13705,Corporate,New York City,New York,East,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92
511,CA-2018-135307,26/11/2018,LS-17245,Consumer,Gladstone,Missouri,Central,FUR-FU-10001290,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,126.3
512,CA-2018-135307,26/11/2018,LS-17245,Consumer,Gladstone,Missouri,Central,TEC-AC-10002399,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,38.04
514,CA-2018-163405,21/12/2018,BN-11515,Consumer,Los Angeles,California,West,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63
515,CA-2018-163405,21/12/2018,BN-11515,Consumer,Los Angeles,California,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,5.88
516,CA-2018-127432,22/01/2018,AD-10180,Home Office,Great Falls,Montana,West,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95
517,CA-2018-127432,22/01/2018,AD-10180,Home Office,Great Falls,Montana,West,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,51.45
518,CA-2018-127432,22/01/2018,AD-10180,Home Office,Great Falls,Montana,West,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),11.96
519,CA-2018-127432,22/01/2018,AD-10180,Home Office,Great Falls,Montana,West,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02
523,CA-2018-145142,23/01/2018,MC-17605,Corporate,Detroit,Michigan,Central,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,210.98
527,CA-2018-113558,21/10/2018,PH-18790,Home Office,Lakeland,Florida,South,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,683.952
528,CA-2018-113558,21/10/2018,PH-18790,Home Office,Lakeland,Florida,South,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.696000000000005
533,US-2018-129441,07/09/2018,JC-15340,Consumer,Los Angeles,California,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94
537,US-2018-122637,03/09/2018,EP-13915,Consumer,Chicago,Illinois,Central,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",42.61600000000001
547,CA-2018-162929,19/11/2018,AS-10135,Home Office,New York City,New York,East,OFF-BI-10000404,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,41.28
548,CA-2018-162929,19/11/2018,AS-10135,Home Office,New York City,New York,East,OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,13.36
553,CA-2018-112774,11/09/2018,RC-19960,Consumer,Jacksonville,Florida,South,FUR-FU-10003039,Furniture,Furnishings,Howard Miller 11-1/2 Diameter Grantwood Wall Clock,34.504
554,CA-2018-101945,24/11/2018,GT-14710,Consumer,Houston,Texas,Central,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,10.824000000000002
555,CA-2018-100650,29/06/2018,DK-13225,Corporate,Anaheim,California,West,OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1295.78
560,CA-2018-118731,20/11/2018,LP-17080,Consumer,San Francisco,California,West,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,42.6
561,CA-2018-118731,20/11/2018,LP-17080,Consumer,San Francisco,California,West,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",84.056
566,CA-2018-137099,07/12/2018,FP-14320,Consumer,Los Angeles,California,West,TEC-PH-10002496,Technology,Phones,Cisco SPA301,374.376
567,CA-2018-156951,01/10/2018,EB-13840,Corporate,Seattle,Washington,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,91.84
568,CA-2018-156951,01/10/2018,EB-13840,Corporate,Seattle,Washington,West,OFF-BI-10001107,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",81.08800000000001
569,CA-2018-156951,01/10/2018,EB-13840,Corporate,Seattle,Washington,West,OFF-PA-10004451,Office Supplies,Paper,Xerox 222,19.44
570,CA-2018-156951,01/10/2018,EB-13840,Corporate,Seattle,Washington,West,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,451.152
571,CA-2018-164826,28/12/2018,JF-15415,Consumer,New York City,New York,East,OFF-LA-10001297,Office Supplies,Labels,Avery 473,72.45
572,CA-2018-164826,28/12/2018,JF-15415,Consumer,New York City,New York,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,13.96
573,CA-2018-164826,28/12/2018,JF-15415,Consumer,New York City,New York,East,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,33.264
574,CA-2018-164826,28/12/2018,JF-15415,Consumer,New York City,New York,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,14.85
579,CA-2018-118640,20/07/2018,CS-11950,Consumer,Chicago,Illinois,Central,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",69.712
580,CA-2018-118640,20/07/2018,CS-11950,Consumer,Chicago,Illinois,Central,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14, Brown",8.792
582,CA-2018-145233,01/12/2018,DV-13465,Consumer,Denver,Colorado,West,TEC-PH-10004977,Technology,Phones,GE 30524EE4,470.376
583,CA-2018-145233,01/12/2018,DV-13465,Consumer,Denver,Colorado,West,TEC-PH-10000586,Technology,Phones,AT&T SB67148 SynJ,105.584
584,CA-2018-145233,01/12/2018,DV-13465,Consumer,Denver,Colorado,West,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,31.151999999999997
585,CA-2018-145233,01/12/2018,DV-13465,Consumer,Denver,Colorado,West,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,6.7829999999999995
586,CA-2018-145233,01/12/2018,DV-13465,Consumer,Denver,Colorado,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,406.36800000000005
615,CA-2018-138611,14/11/2018,CK-12595,Consumer,Grove City,Ohio,East,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,119.94
616,CA-2018-138611,14/11/2018,CK-12595,Consumer,Grove City,Ohio,East,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.648
617,CA-2018-117947,18/08/2018,NG-18355,Corporate,New York City,New York,East,FUR-FU-10003849,Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",40.48
618,CA-2018-117947,18/08/2018,NG-18355,Corporate,New York City,New York,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94
619,CA-2018-117947,18/08/2018,NG-18355,Corporate,New York City,New York,East,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,107.42399999999999
620,CA-2018-117947,18/08/2018,NG-18355,Corporate,New York City,New York,East,TEC-PH-10002538,Technology,Phones,Grandstream GXP1160 VoIP phone,37.91
621,CA-2018-117947,18/08/2018,NG-18355,Corporate,New York City,New York,East,FUR-FU-10000521,Furniture,Furnishings,Seth Thomas 14 Putty-Colored Wall Clock,88.02
627,CA-2018-163020,15/09/2018,MO-17800,Home Office,New York City,New York,East,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",35.56
